City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,268.94,78,20,6.69,CA,1710379102
1,avarua,-21.2078,-159.775,300.18,94,75,10.8,CK,1710378988
2,ribeira grande,38.5167,-28.7,290.25,93,7,7.6,PT,1710379105
3,west island,-12.1568,96.8225,300.14,78,40,4.12,CC,1710379105
4,guacimo,10.2104,-83.6807,298.81,91,61,1.01,CR,1710379107
5,hawaiian paradise park,19.5933,-154.9731,298.17,89,75,4.63,US,1710379108
6,whangarei,-35.7317,174.3239,299.66,40,7,0.42,NZ,1710379111
7,keflavik,64.0049,-22.5624,275.39,75,0,9.26,IS,1710379115
8,port-aux-francais,-49.35,70.2167,278.59,81,99,4.14,TF,1710379117
9,wailua homesteads,22.0669,-159.378,298.39,83,100,3.6,US,1710379119
10,bethel,41.3712,-73.414,283.63,60,0,0.45,US,1710378938
11,qaqortoq,60.7167,-46.0333,268.64,95,100,2.08,GL,1710379120
12,ilulissat,69.2167,-51.1,260.16,85,100,2.06,GL,1710379122
13,adamstown,-25.066,-130.1015,298.34,82,100,7.31,PN,1710379123
14,nevinnomyssk,44.6267,41.9453,275.86,88,100,7.92,RU,1710379124
15,edinburgh of the seven seas,-37.0676,-12.3116,289.55,86,83,16.6,SH,1710379125
16,blackmans bay,-43.0167,147.3167,289.67,69,97,0.89,AU,1710379126
17,chibougamau,49.9168,-74.3659,271.94,93,75,0.0,CA,1710379127
18,biskra,34.8504,5.7281,286.88,30,0,1.54,DZ,1710379128
19,sandnessjoen,66.0217,12.6316,271.44,89,100,8.97,NO,1710379130
20,saipan,15.1355,145.701,303.54,66,20,8.75,MP,1710378969
21,lisakovsk,52.5369,62.4936,257.42,96,87,3.68,KZ,1710378871
22,tolanaro,-25.0319,46.9987,297.12,82,0,5.86,MG,1710379135
23,nicoya,10.1483,-85.452,301.61,53,3,5.1,CR,1710378947
24,waitangi,-43.9535,-176.5597,289.16,73,32,2.24,NZ,1710379136
25,shingu,33.7333,135.9833,285.72,42,97,1.77,JP,1710379137
26,nabire,-3.3667,135.4833,298.85,90,100,0.67,ID,1710378878
27,bredasdorp,-34.5322,20.0403,289.33,77,0,0.67,ZA,1710379139
28,kargasok,59.0556,80.8572,259.86,96,100,3.67,RU,1710379142
29,iqaluit,63.7506,-68.5145,253.0,71,75,0.0,CA,1710379144
30,puerto natales,-51.7236,-72.4875,276.91,95,94,4.34,CL,1710379146
31,susuman,62.7833,148.1667,247.03,98,92,0.45,RU,1710379149
32,las varillas,-31.8721,-62.7195,302.71,64,36,2.95,AR,1710379150
33,dudinka,69.4058,86.1778,255.16,84,27,4.92,RU,1710379151
34,weno,7.4515,151.8468,302.12,74,100,6.17,FM,1710379153
35,isafjordur,66.0755,-23.124,272.23,91,100,9.4,IS,1710379156
36,paracuru,-3.41,-39.0306,302.65,87,100,3.41,BR,1710379157
37,kingston,17.997,-76.7936,299.35,82,18,1.15,JM,1710379050
38,grytviken,-54.2811,-36.5092,277.94,83,100,0.84,GS,1710379159
39,plastun,44.7561,136.2939,276.28,51,100,1.38,RU,1710379166
40,constantia,44.1833,28.65,279.65,87,99,6.07,RO,1710379132
41,nchelenge,-9.3451,28.734,294.36,85,87,1.3,ZM,1710379169
42,tazovsky,67.4667,78.7,250.4,90,89,5.64,RU,1710379170
43,puerto ayora,-0.7393,-90.3518,299.57,97,78,1.79,EC,1710379171
44,hamilton,39.1834,-84.5333,291.48,56,0,2.57,US,1710378935
45,al bardiyah,31.7561,25.0865,287.42,69,0,2.43,LY,1710379174
46,vila franca do campo,37.7167,-25.4333,291.42,99,49,5.51,PT,1710379177
47,es castell,39.8795,4.2854,282.53,100,0,2.06,ES,1710379178
48,longyearbyen,78.2186,15.6401,257.06,66,40,8.75,SJ,1710379172
49,fort bragg,35.139,-79.006,291.47,40,0,0.0,US,1710379181
50,alice springs,-23.7,133.8833,307.9,17,15,5.66,AU,1710379183
51,lihue,21.9789,-159.3672,298.73,83,100,3.6,US,1710378904
52,chui,-33.6971,-53.4616,295.4,94,54,4.47,UY,1710379018
53,heilbad heiligenstadt,51.3833,10.1333,282.46,97,100,1.79,DE,1710379192
54,atafu village,-8.5421,-172.5159,302.82,68,31,6.56,TK,1710379194
55,albany,42.6001,-73.9662,286.51,66,98,0.89,US,1710378916
56,kodiak,57.79,-152.4072,272.88,64,100,3.09,US,1710379206
57,narasannapeta,18.4167,84.05,298.93,81,0,3.63,IN,1710379211
58,bardai,11.65,7.2333,300.84,13,98,3.91,NG,1710379212
59,qujing,25.4833,103.7833,284.33,75,24,2.01,CN,1710379213
60,douglas,41.3,-96.167,292.05,54,75,4.63,US,1710379223
61,mouila,-1.8685,11.0559,296.55,97,100,1.5,GA,1710379228
62,bonthe,7.5264,-12.505,299.1,89,12,2.63,SL,1710379229
63,bagepalli,13.7847,77.7931,297.23,54,29,2.99,IN,1710379230
64,balakovo,52.0278,47.8007,260.36,97,40,1.93,RU,1710379233
65,kone,-21.0595,164.8658,304.15,66,93,2.14,NC,1710379241
66,tralee,52.2704,-9.7026,283.27,98,100,2.72,IE,1710379243
67,tiksi,71.6872,128.8694,244.7,96,38,2.79,RU,1710379244
68,el nido,11.1858,119.3956,300.45,74,6,7.64,PH,1710379245
69,kapa'a,22.0752,-159.319,299.14,84,100,3.6,US,1710379245
70,najran,17.4924,44.1277,291.51,42,27,1.72,SA,1710379247
71,hammerfest,70.6634,23.6821,265.4,86,29,1.03,NO,1710379249
72,enewetak,11.3474,162.3373,299.84,78,100,9.68,MH,1710379250
73,hami,42.8,93.45,279.55,36,83,3.94,CN,1710379251
74,lebu,-37.6167,-73.65,286.98,88,16,1.91,CL,1710379252
75,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,86,100,22.35,RU,1710379253
76,nar'yan-mar,67.6713,53.087,262.1,86,50,7.6,RU,1710379254
77,sarikei,2.1167,111.5167,297.91,90,100,1.2,MY,1710379255
78,slave lake,55.2834,-114.769,277.14,60,0,1.54,CA,1710379256
79,mishelevka,52.8575,103.1719,265.43,87,64,3.28,RU,1710379257
80,port elizabeth,-33.918,25.5701,291.54,84,0,5.14,ZA,1710379258
81,boca suno,-0.7167,-77.1333,296.44,98,94,0.1,EC,1710379259
82,papatowai,-46.5619,169.4708,289.54,46,55,4.52,NZ,1710379260
83,st. john's,47.5649,-52.7093,274.14,97,100,6.26,CA,1710379120
84,vilyuchinsk,52.9306,158.4028,272.3,90,100,9.75,RU,1710379264
85,savanna-la-mar,18.219,-78.1332,300.12,79,73,1.16,JM,1710379265
86,kirakira,-10.4544,161.9205,301.41,81,100,2.48,SB,1710379266
87,bay harbor,30.1471,-85.6146,290.4,89,0,2.06,US,1710379273
88,alofi,-19.0595,-169.9187,302.09,79,100,2.57,NU,1710379274
89,as sulayyil,20.4607,45.5779,294.29,36,18,4.7,SA,1710379274
90,iskateley,67.6803,53.1512,262.05,86,56,7.6,RU,1710379275
91,jijiga,9.35,42.8,292.18,68,2,1.45,ET,1710379277
92,mount gambier,-37.8333,140.7667,292.75,46,19,4.79,AU,1710379278
93,geraldton,-28.7667,114.6,304.38,48,3,9.26,AU,1710379226
94,lazaro cardenas,17.9583,-102.2,298.22,76,88,3.47,MX,1710379282
95,alavus,62.5833,23.6167,274.1,97,100,4.19,FI,1710379294
96,georgetown,5.4112,100.3354,302.11,72,20,1.54,MY,1710379295
97,barbacha,36.5667,4.9667,278.39,93,0,4.63,DZ,1710379296
98,ulysses,37.5814,-101.3552,288.31,51,100,2.57,US,1710379298
99,ust-nera,64.5667,143.2,250.96,91,99,1.19,RU,1710379299
100,chonchi,-42.6128,-73.8092,282.71,93,51,1.66,CL,1710379011
101,eyl,7.9803,49.8164,299.28,73,81,4.97,SO,1710379302
102,kalanaur,28.8333,76.4,289.02,39,1,1.7,IN,1710379303
103,vorgashor,67.5833,63.95,257.57,93,100,4.79,RU,1710379304
104,fisterra,42.9049,-9.2629,286.34,89,6,9.65,ES,1710379305
105,margate,51.3813,1.3862,284.09,84,100,4.02,GB,1710379299
106,nova sintra,14.8667,-24.7167,293.31,73,0,8.4,CV,1710379307
107,rio grande,-32.035,-52.0986,297.56,91,0,4.19,BR,1710378781
108,mangrol,21.1167,70.1167,294.57,75,0,5.2,IN,1710379310
109,napili-honokowai,20.9708,-156.6705,299.66,87,8,3.92,US,1710379311
110,haiku-pauwela,20.9219,-156.3051,298.16,72,40,4.12,US,1710379312
111,tura,25.5198,90.2201,293.51,37,6,1.73,IN,1710379314
112,ushuaia,-54.8,-68.3,277.96,87,20,0.51,AR,1710379226
113,broken hill,-31.95,141.4333,303.61,30,34,7.56,AU,1710379224
114,jieshi,22.8134,115.8257,289.91,82,100,6.4,CN,1710379316
